listing_type,city,city_score,has_city,budget,budget_normalized,has_budget,has_email,has_phone,has_address,profile_complete,docs_uploaded,docs_score,is_long_term,has_move_in_date,is_business_hour,fifo_position,fifo_score,converted
Buy,Tunis,1.0,1,563575.0,0.37571666666666664,1,1,1,1,100,4,0.8,,0,1,1,1.0,1
Buy,Tunis,1.0,1,,,0,1,1,1,100,5,1.0,,1,1,2,1.0,1
Rent,Monastir,0.8,1,2578.0,0.5156,1,1,0,1,70,5,1.0,0.0,1,0,3,0.999,1
Rent,Sfax,0.85,1,,,0,1,1,1,100,0,0.0,1.0,1,1,4,0.999,1
Buy,Ariana,0.88,1,1368353.0,0.9122353333333333,1,1,1,1,100,5,1.0,,0,0,5,0.999,1
Buy,Bizerte,0.75,1,538197.0,0.358798,1,1,1,1,100,2,0.4,,0,1,6,0.999,1
Buy,Unknown,0.3,0,1483503.0,0.989002,1,1,1,0,60,5,1.0,,0,1,7,0.999,1
Rent,Bizerte,0.75,1,4862.0,0.9724,1,1,1,1,100,0,0.0,,0,0,8,0.998,1
Rent,Hammamet,0.82,1,2028.0,0.4056,1,1,1,1,100,1,0.2,0.0,1,0,9,0.998,0
Rent,Sousse,0.9,1,2320.0,0.464,1,1,1,1,100,3,0.6,0.0,1,0,10,0.998,1
Buy,Ariana,0.88,1,148810.0,0.09920666666666667,1,1,1,0,60,5,1.0,,1,0,11,0.998,1
Rent,Hammamet,0.82,1,4134.0,0.8268,1,1,1,1,100,0,0.0,0.0,1,1,12,0.998,1
Rent,Unknown,0.3,0,2704.0,0.5408,1,1,1,1,100,5,1.0,,0,1,13,0.997,1
Buy,Ariana,0.88,1,1361349.0,0.907566,1,1,1,1,100,1,0.2,,1,0,14,0.997,1
Buy,Ben Arous,0.83,1,90845.0,0.06056333333333333,1,1,1,1,100,2,0.4,,0,0,15,0.997,0
Buy,Sfax,0.85,1,195149.0,0.13009933333333334,1,1,1,0,60,5,1.0,,1,1,16,0.997,1
Buy,Bizerte,0.75,1,1322119.0,0.8814126666666666,1,1,1,1,100,5,1.0,,1,0,17,0.997,1
